 caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaassssssssssplatform,product_id,rating,comment,Quality,Price,Delivery,Service,cleaned_comment
tiki,99958075,5,"Chất lượng tốt, mặc vừa vặn.",2,-1,-1,-1,"chất_lượng tốt , mặc vừa_vặn ."
tiki,99958075,5,"Chất lượng tốt, mặc vừa vặn",2,-1,-1,-1,"chất_lượng tốt , mặc vừa_vặn"
tiki,99958075,5,"Quần kiểu dáng basic dể mặc dễ phối đồ, Hàng chính hãng nên cũng rất an tâm,  thông tin logo rõ ràng dễ nhận biết, thích cái logo phản quang bên dưới tạo điểm nhấn cho quần. Nói chung đẹp,giá cũng rất hợp lí",-1,-1,-1,-1,"quâ n kiê u da ng basic dê mă c dê phô i đô , ha ng chi nh ha ng nên cu ng râ tôi an_tâm , thông_tin logo ro ra ng dê nhâ n biê tôi , thi ch ca i logo pha n quang bên dươ i ta o điê mình nhâ n cho quâ n . no i chung đe_p , gia cu ng râ tôi hơ p_li"
tiki,99958075,4,quần ok tuy nhiên muốn bận thoải mái ở nhà thì +1 size,2,-1,-1,-1,quần tốt tuy_nhiên muốn bận thoải_mái ở nhà thì 1 size
tiki,99958075,5,"Săn được quần đẹp, giá tốt để chơi thể thao thì bị hạn chế ra ngoài, thôi đành mong dịch qua nhanh vậy. Đợi dịch ổn định sẽ mua thêm vài chiếc để thay đổi. Chất lượng xứng đáng 5*, có điều giao bị trễ hẹn so dự kiến.",2,-1,2,-1,"săn đươ c quâ n đe_p , gia tô tôi đê chơi thê thao thi bi ha n chê ra ngoa i , thôi đa nh mong di_ch qua nhanh vâ y . đơ i di_ch ô n đi nh se mua thêm va i chiê c đê thay đô i . châ tôi lươ ng xư ng đa ng 5 , co điê u giao hàng bi trê he n so dư kiê n ."
tiki,99958075,4,"Giao hàng nhanh  Đúng sản phẩm  Túi quần hơi nông khó để đồ, nên làm sâu hơn",1,-1,2,-1,"giao hàng hàng nhanh đúng sản_phẩm túi quần hơi nông khó để đồ , nên làm sâu hơn"
tiki,99958075,5,Chất liệu tốt giao hàng nhanh và đóng gói lịch sự,2,-1,2,-1,chất_liệu tốt giao hàng hàng nhanh và đóng_gói lịch_sự
tiki,99958075,5,"Sản phẩm tốt, giao đúng hẹn",2,-1,1,-1,"sản_phẩm tốt , giao hàng đúng hẹn"
tiki,99958075,5,"Quần thì đẹp, dịch bệnh không đi đâu được nên mặc ở nhà, Quần này hoàn toàn có thể mặc đi chơi, ra ngoài đều ok, mua của shop lần đầu, nhưng mọi thứ đều tuyệt vời từ chất lượng, đến đóng gói, chắc chắn sẽ quay lại trong tương lai, thanks!",2,-1,-1,-1,"quâ n thi đe_p , di_ch bê nh không đi đâu đươ c nên mă c ơ nha , quâ n na y hoa n toa n co thê mă c đi chơi , ra ngoa i đê u tốt , mua cu a cửa_hàng lâ n đâ u , nhưng mo i thư đê u tuyê tôi vơ i tư châ tôi lươ ng , đê n đo ng go i , chă c chă n se quay la i trong tương_lai , thanks !"
tiki,99958075,4,"- đóng gói: mỗi item trong 1 hộp giấy riêng, sang, sạch - sản phẩm: vải mát, mịn. có điều 1 lớp và khá mỏng, nếu muốn mặc ở nhà và không mặc sịp thì không ổn - giao hàng: trễ hơn 1 ngày so với ngày hẹn",0,-1,1,-1,"đóng_gói mỗi item trong 1 hộp giấy riêng , sang , sạch sản_phẩm vải mát , mịn . có điều 1 lớp và khá mỏng , nếu muốn mặc ở nhà và không mặc sịp thì không ổn giao hàng hàng trễ hơn 1 ngày so với ngày hẹn"
tiki,99958075,5,"Nhận hàng ngỡ ngàng luôn, bọc cẩn thận, giao tận tay hộp còn mới tinh. Quần đẹp lắm shop, giao nhanh đóng gói cẩn thận, rất thích mua trên tiki vì san phẩm tốt mà hỗ trợ cũng rất nhanhh. 5* sẽ còn lựa thêm đồ của shop",2,-1,2,-1,"nhâ n ha ng ngơ nga ng luôn , bo c câ n thâ n , giao hàng tâ n tay hô p co n mơ i tinh . quâ n đe_p lă mình cửa_hàng , giao hàng nhanh đo ng go i câ n thâ n , râ tôi thi ch mua trên tiki vi san phâ mình tô tôi ma hô trơ cu ng râ tôi nhanhh . 5 se co n lư a thêm đô cu a cửa_hàng"
tiki,99958075,5,siêu xịn xò,2,-1,-1,-1,siêu xịn xò
tiki,99958075,5,"Giao nhanh, sản phẩm như hình, đường may chắc chắn và kỹ. Mặc thử hy vọng thoáng mát nữa là chuẩn 5 sao.",2,-1,2,-1,"giao hàng nhanh , sản_phẩm như hình , đường may chắc_chắn và kỹ . mặc thử hy_vọng thoáng mát nữa là chính hãng 5 sao ."
tiki,99958075,5,"Chất lượng, mặc rất thích.",2,-1,-1,-1,"chất_lượng , mặc rất thích ."
tiki,99958075,5,"Vải mặc thoáng, mát, co giãn tốt. Điểm trừ là vải giặt ra màu nhiều quá. Mặc 1 tháng cỡ 7 8 ngày gì đó mà ra màu nhạt hơn lúc mới mua.",2,-1,-1,-1,"vải mặc thoáng , mát , co_giãn tốt . điểm trừ là vải giặt ra màu nhiều quá . mặc 1 tháng cỡ 7 8 ngày gì đó mà ra màu nhạt hơn lúc mới mua ."
tiki,99958075,5,đẹp,2,-1,-1,-1,đẹp
tiki,99958075,5,Cực kì tốt,2,-1,-1,-1,cực_kì tốt
tiki,99958075,5,"Đây không chỉ là cái quần, đây còn là kiệt tác. Kiểu dáng thể thao, mặc đi dã ngoại, tắm biển cũng khá hợp.",0,-1,-1,-1,"đây không chỉ là cái quần , đây còn là kiệt_tác . kiểu_dáng thể_thao , mặc đi dã_ngoại , tắm biển cũng khá hợp ."
tiki,99958075,5,"Quá tuyệt vời shop, mua tặng B trai dịp sinh nhật, giao hàng nhanh trước 1 ngày sinh nhật cảm ơn tiki.Hộp quà còn to, đẹp. Anh ấy rất thích quần của shop còn chụp ảnh gửi. 5* cảm ơn shop nhiều ạ!",1,-1,2,-1,"qua tuyê tôi vơ i cửa_hàng , mua tă ng b trai di_p sinh nhâ tôi , giao hàng ha ng nhanh trươ c 1 nga y_sinh nhâ tôi ca mình ơn tiki . hô p qua co n to , đe_p . anh â y râ tôi thi ch quâ n cu a cửa_hàng co n chu p a nh gư i . 5 ca mình ơn cửa_hàng nhiê u a !"
tiki,99958075,5,"Quần đẹp, nhận hàng rất hài lòng vì sản phẩm được đóng gói bọc túi cẩn thận. Chất liệu vải mát , co giãn tốt. Có luôn giao hàng 2h nhận luôn. 5* chắc chắn sẽ mua lại ^-^",2,-1,2,-1,"quần đẹp , nhận hàng rất hài_lòng vì sản_phẩm được đóng_gói bọc túi cẩn_thận . chất_liệu vải mát , co_giãn tốt . có luôn giao hàng hàng 2h nhận luôn . 5 chắc_chắn sẽ mua lại"
tiki,99958075,5,"Quần vải co giãn tốt, Shop đóng gói rất cẩn thận. Lần đầu mua hàng tại shop nhưng cực kì hài lòng, mua cho ông xã 2 chiếc size XL rất vừa, chắc chắn sẽ tiếp tục ủng hộ Sop",2,-1,2,-1,"quần vải co_giãn tốt , cửa_hàng đóng_gói rất cẩn_thận . lần đầu mua hàng tại cửa_hàng nhưng cực_kì hài_lòng , mua cho ông_xã 2 chiếc size xl rất vừa , chắc_chắn sẽ tiếp_tục ủng_hộ sop"
tiki,99958075,5,"phải nói là đẹp, mặc thoải mái , tự tin khi đi ra ngoài, kiểu dáng trẻ, dễ phối mặc với đồ khác. Quân mặc mát rất thích, hàng Official lại là brand Việt nam, ủng hộ hàng Việt 5*",-1,-1,-1,-1,"pha i no i la đe_p , mă c thoa i ma_i , tư tin khi đi ra ngoa i , kiê u da ng tre , dê phô i mă c vơ i đô kha c . quân mă c ma tôi râ tôi thi ch , ha ng official la i la brand viê tôi nam , u ng hô ha ng viê tôi 5"
tiki,99958075,4,"Chất vải ổn nhưng giặt ra nước màu nhiều, đã giặt 3-4 lần",2,-1,-1,-1,"chất vải ổn nhưng giặt ra nước_màu nhiều , đã giặt 3 4 lần"
tiki,99958075,5,Đẹp,2,-1,-1,-1,đẹp
tiki,99958075,5,"Hàng thì xịn sò luôn, đường may rất chỉn chu, giá cả thì hợp lý, Tiki thì giao hàng lúc nào cũng tuyệt vời.",2,2,1,-1,"hàng thì xịn sò luôn , đường may rất chỉn_chu , giá_cả thì hợp_lý , tiki thì giao hàng hàng lúc_nào cũng tuyệt_vời ."
tiki,99958075,4,"Thoáng, đẹp, giá hơi cao so với chất lượng",2,0,-1,-1,"thoáng , đẹp , giá hơi cao so với chất_lượng"
tiki,99958075,5,"Mình đã mua đc 2 lần, nói chung quần rất mát, chắc chắn và co giãn tốt, mình mông to khó kiếm quần, quần này đáp ứng tốt với size mình mua.",2,-1,-1,-1,"mình đã mua được 2 lần , nói_chung quần rất mát , chắc_chắn và co_giãn tốt , mình mông to khó kiếm quần , quần này đáp_ứng tốt với size mình mua ."
tiki,99958075,5,Quần đóng hộp nhìn ổn vải okie chưa mặc khi vận động nên k rõ độ thấm hút sao,2,-1,-1,-1,quần đóng_hộp nhìn ổn vải okie chưa mặc khi vận_động nên không rõ độ thấm hút sao
tiki,99958075,4,"Mẫu mã, kiểu dáng, giá cả sêm sêm với loại đã mua sử dụng. Tuy nhiên vải hơi mỏng hơn.",2,1,-1,-1,"mẫu_mã , kiểu_dáng , giá_cả sêm sêm với loại đã mua sử_dụng . tuy_nhiên vải hơi mỏng hơn ."
tiki,99958075,5,"Chất vải tốt, khá thoáng, độ co giãn hơi thấp so với mong đợi",2,-1,-1,-1,"chất vải tốt , khá thoáng , độ co_giãn hơi thấp so với mong_đợi"
tiki,99958075,4,"vải đẹp, tuy nhiên hơi chật bụng, ae nên mua hơn size",2,-1,-1,-1,"vải đẹp , tuy_nhiên hơi chật bụng , ae nên mua hơn size"
tiki,99958075,5,"Phom đẹp; vải mềm, mỏng; mặc dễ chịu",0,-1,-1,-1,"phom đẹp vải mềm , mỏng mặc dễ_chịu"
tiki,99958075,5,"Vải mỏng, mềm, phom đẹp",0,-1,-1,-1,"vải mỏng , mềm , phom đẹp"
tiki,99958075,5,Ok chất liệu tốt. Mua lần 2,2,-1,-1,-1,tốt chất_liệu tốt . mua lần 2
tiki,99958075,5,"Sản phẩm tốt, sẽ ủng hộ shop lâu dài.",2,-1,0,-1,"sản_phẩm tốt , sẽ ủng_hộ cửa_hàng lâu_dài ."
tiki,99958075,5,"quần bạn mát lắm, mình mặc đi chơi hay đi thể thao khá là thoải mái, cho shop 5* nha.",2,-1,-1,-1,"quần bạn mát lắm , mình mặc đi chơi hay đi thể_thao khá là thoải_mái , cho cửa_hàng 5 nha ."
tiki,99958075,5,Ok lắm,2,-1,-1,-1,tốt lắm
tiki,99958075,5,"mua sp 1 lần rồi, lần nay mua lại 2 cái luôn, sp vải tốt mát, thoải mái, mà giá lại rẻ nữa",2,2,-1,-1,"mua sản_phẩm 1 lần rồi , lần nay mua lại 2 cái luôn , sản_phẩm vải tốt mát , thoải_mái , mà giá lại rẻ nữa"
tiki,99958075,5,Ok,2,-1,-1,-1,tốt
tiki,99958075,5,Tốt,2,-1,-1,-1,tốt
tiki,99958075,5,Qua tốt,2,-1,-1,-1,qua tốt
tiki,99958075,5,Chât luong ko can phải noi tot lắm,-1,-1,-1,-1,chât luong không can phải noi tot lắm
tiki,99958075,5,"quần mặc rộng rãi thoải mái, chun co giãn tốt có dây buộc nên không bị tuột khi chạy. chơi thể thao, đá bank, đi chơi đều được á, nói chung là rất tiện",-1,-1,-1,-1,"quâ n mă c rô ng ra i thoa i ma_i , chun co gia n tô tôi co dây buô c nên không bi tuô tôi khi cha y . chơi thê thao , đa bank , đi chơi đê u đươ c a , no i chung la râ tôi tiê n"
tiki,99958075,5,Chất lượng tốt,2,-1,-1,-1,chất_lượng tốt
tiki,99958075,5,"Thoáng mát, dễ chịu. Thích hợp cho cả chơi thể thao và mặc ở nhà. Oke trong tầm giá.",2,1,-1,-1,"thoáng mát , dễ_chịu . thích_hợp cho cả chơi thể_thao và mặc ở nhà . tốt trong tầm giá ."
tiki,99958075,5,Dùng ổn,2,-1,-1,-1,dùng ổn
tiki,99958075,5,"sản phẩm giống mô tả, giao hàng nhanh, rất vừa ý!",1,-1,2,-1,"sản_phẩm giống mô_tả , giao hàng hàng nhanh , rất vừa_ý !"
tiki,99958075,5,"Mặc thoáng mát, ít ra màu hơn màu đen",1,-1,-1,-1,"mặc thoáng mát , ít_ra màu hơn màu đen"
tiki,99958075,5,Ship nhanh đặt hôm trc hôm sau có  Hỗ trợ đổi trả nhanh,1,-1,2,2,giao hàng nhanh đặt hôm trc hôm sau có hỗ_trợ đổi trả nhanh
tiki,99958075,4,"Quần mát mẻ, đẹp. Cần thời gian sử dụng để đánh giá chất lượng.",2,2,-1,-1,"quần mát_mẻ , đẹp . cần thời_gian sử_dụng để đánh_giá chất_lượng ."
tiki,99958075,5,"Đẹp, co giản thoải mái.",0,-1,-1,-1,"đẹp , co_giản thoải_mái ."
tiki,99958075,5,Ok tơt,2,-1,-1,-1,tốt tơt
tiki,99958075,5,Giao hàng rất là nhanh. Sản phẩm giống như mô tả. Có điều hơi rộng xíu. Cơ mà cũng hài lòng,0,-1,2,-1,giao hàng hàng rất là nhanh . sản_phẩm giống như mô_tả . có_điều hơi rộng xíu . cơ_mà cũng hài_lòng
tiki,99958075,5,"Đã từng mua 1 lần của shop màu đen, giờ lựa thêm màu Xanh Đen thay đổi. Lần này giao 2h siêu nhanh, ship cũng rất rẻ. ủng hộ hàng việt nam chính hãg !!!",2,-1,2,-1,"đa tư ng mua 1 lâ n cu a cửa_hàng ma u đen , giơ_lư a thêm ma u xanh đen thay đô i . lâ n na y giao hàng 2h siêu nhanh , giao hàng cu ng râ tôi re . u ng hô ha ng viê tôi nam chi nh ha g ! ! !"
tiki,99958075,5,"Vải đẹp, giao hàng nhanh",2,-1,2,-1,"vải đẹp , giao hàng hàng nhanh"
tiki,99958075,5,"Giao hàng nhanh, màu sắc như hình. Chất mát, nhẹ.",1,-1,2,-1,"giao hàng hàng nhanh , màu_sắc như hình . chất mát , nhẹ ."
tiki,99958075,5,"vải đẹp, đóng hộp xịn sò. chồng nặng 74kg, cao 1m75, mặc size XL vừa in. cho shop 5 sao",2,0,-1,-1,"vải đẹp , đóng_hộp xịn sò . chồng nặng 74kg , cao 1m75 , mặc size xl vừa in . cho cửa_hàng 5 sao"
tiki,99958075,5,Ship nhanh đổi trả nhanh  Chất lượng rất tốt,2,-1,2,-1,giao hàng nhanh đổi trả nhanh chất_lượng rất tốt
tiki,99958075,5,Chất liệu ok,2,-1,-1,-1,chất_liệu tốt
tiki,99958075,5,5 sao,-1,-1,-1,-1,5 sao
tiki,99958075,5,giao hàng nhanh chất lượng ok đẹp,2,-1,2,-1,giao hàng hàng nhanh chất_lượng tốt_đẹp
tiki,99958075,5,"quần mặc mát, mình vận động thể thao nhiều thấy khá phù hợp. Dây kéo cũng tiện lợi.",0,-1,-1,-1,"quần mặc mát , mình vận_động thể_thao nhiều thấy khá phù_hợp . dây kéo cũng tiện_lợi ."
tiki,99958075,5,"quần đẹp ạ, mặc mát, chất lượng tốt",2,-1,-1,-1,"quần đẹp ạ , mặc mát , chất_lượng tốt"
tiki,99958075,5,Chất liệu mỏng nhẹ thoải mái.lưng quần ko có độ co giãn lắm nhìn bự ko ôm vô người á,0,-1,-1,-1,chất_liệu mỏng nhẹ thoải_mái . lưng quần không có độ co_giãn lắm nhìn bự không ôm vô người á
tiki,99958075,4,Giao hàng nhanh Sp tạm chấp nhận được,1,-1,2,-1,giao hàng hàng nhanh sản_phẩm tạm chấp_nhận được
tiki,99958075,4,Giao hàng nhanh Đóng gói sản phẩm đẹp,2,-1,2,-1,giao hàng hàng nhanh đóng_gói sản_phẩm đẹp
tiki,99958075,5,Vải đẹp. Sờ vào cảm giác mát tay.,2,1,-1,-1,vải đẹp . sờ vào cảm_giác mát_tay .
tiki,99958075,5,"quần đẹp, mỏng nhẹ, mát, mặt thoải mái, giặt nhanh khô",0,-1,2,-1,"quần đẹp , mỏng nhẹ , mát , mặt thoải_mái , giặt nhanh khô"
tiki,99958075,5,"tiki giao hàng nhanh, vải quần mịn mát co dãn tốt rất đáng mua",2,-1,2,-1,"tiki giao hàng hàng nhanh , vải quần mịn mát co_dãn tốt rất đáng mua"
tiki,99958075,5,"mát mẻ và sảng khoái, sẽ ủng hộ shop dài lâu",1,-1,0,-1,"mát_mẻ và sảng_khoái , sẽ ủng_hộ cửa_hàng dài lâu"
tiki,99958075,5,"Chất lượng thì được, giao hàng hơi trễ xíu, tiki đã gọi điện thông báo trước vì tình hình dịch bệnh. Hài lòng 4,95 / 5*.",1,-1,1,-1,"châ tôi lươ ng thi đươ c , giao hàng ha ng hơi trê xi u , tiki đa go i điê n thông ba o trươ c vi ti nh hi nh di_ch bê nh . ha i lo ng 4,95 5 ."
tiki,99958075,5,"Vải mỏng nhưng đc cái mát, có túi khoá kéo để bỏ điện thoại. Giá tốt",2,1,-1,-1,"vải mỏng nhưng được cái mát , có túi khoá_kéo để bỏ điện_thoại . giá tốt"
tiki,99958075,5,"Thoáng, thoải mái, chất liệu nhìn chung tốt, đáng để mua.",2,-1,-1,-1,"thoáng , thoải_mái , chất_liệu nhìn_chung tốt , đáng để mua ."
tiki,99958075,4,"quần cũng được, nhưng mình ko thấy co giãn nhiều.",0,-1,-1,-1,"quần cũng được , nhưng mình không thấy co_giãn nhiều ."
tiki,99958075,5,"chồng mình rất thích, thấy mặc hoài luôn",0,-1,-1,-1,"chồng mình rất thích , thấy mặc hoài luôn"
tiki,99958075,5,"chất lượng, kiểu dáng quần rất vừa ý mình, hi vọng shop đa dạng thêm màu để lựa thêm. Đóng gói kĩ, giao nhanh thật",2,-1,2,-1,"châ tôi lươ ng , kiê u da ng quâ n râ tôi vư a y mi nh , hi vo ng cửa_hàng đa da ng thêm ma_u đê_lư a thêm . đo ng go i ki , giao hàng nhanh thâ tôi"
tiki,99958075,4,Chất vải mát nhưng không có cạp chun quần nên mặc hơi rộng so với mình :))),2,-1,-1,-1,chất vải mát nhưng không có cạp chun quần nên mặc hơi rộng so với mình
tiki,99958075,5,"quần nhẹ, không nhăn, màu đẹp, có khóa ở 2 túi, nên mua",2,-1,-1,-1,"quần nhẹ , không nhăn , màu đẹp , có khóa ở 2 túi , nên mua"
tiki,99958075,4,Chất lượng khá tốt so với giá thành,2,1,-1,-1,chất_lượng khá tốt so với giá_thành
tiki,99958075,5,Oke,2,-1,-1,-1,tốt
tiki,99958075,4,Ổn thắt lưng hơi cứng xíu OK tầm giá,2,1,-1,-1,ổn thắt_lưng hơi cứng xíu tốt tầm giá
tiki,99958075,4,"vải mỏng hơn mình nghĩ, giao hàng siêu tốc.",0,-1,1,-1,"vải mỏng hơn mình nghĩ , giao hàng hàng siêu_tốc ."
tiki,99958075,5,"vải mái, thoải mái",-1,-1,-1,-1,"vải mái , thoải_mái"
tiki,99958075,5,"Chất lượng tốt, mặc thoáng mát, giao hàng nhanh",2,-1,2,-1,"chất_lượng tốt , mặc thoáng mát , giao hàng hàng nhanh"
tiki,99958075,5,"Đóng hộp siêu đẹp Giao hàng thần tốc, vừa nhận hàng nhưng chưa mặc thử, nếu tốt chắc chắn sẽ còn mua nhiều",2,-1,1,-1,"đo ng hô p siêu đe_p giao hàng ha ng thâ n tô c , vư a nhâ n ha ng nhưng chưa mă c thư , nê u tô tôi chă c chă n se co n mua nhiê u"
tiki,99958075,5,"quần ok lắm, bận thoải mái sẽ ủng hộ shop nếu có nhu cầu tiếp.",2,-1,-1,-1,"quần tốt lắm , bận thoải_mái sẽ ủng_hộ cửa_hàng nếu có nhu_cầu tiếp ."
tiki,99958075,5,5 sao nha,-1,-1,-1,-1,5 sao nha
tiki,99958075,5,"Mua quần tặng bạn trai dịp sinh nhật, tiki giao nhanh, hộp đến nơi còn nguyên vẹn, rất hài lòng. Cảm ơn tiki và shop",1,-1,2,-1,"mua quâ n tă ng ba n trai di_p sinh nhâ tôi , tiki giao hàng nhanh , hô p đê n nơi co n nguyên ve_n , râ tôi ha i lo ng . ca mình ơn tiki va cửa_hàng"
tiki,99958075,5,"Đóng gói đẹp gọn gàng, Chất liệu vải mát , Hợp với ae thanh niên  Đáng để xuống tiền",2,1,1,-1,"đóng_gói đẹp gọn_gàng , chất_liệu vải mát , hợp với ae thanh_niên đáng để xuống tiền"
tiki,99958075,5,"Sp nhìn đẹp, chất liệu thoải mái",2,-1,-1,-1,"sản_phẩm nhìn đẹp , chất_liệu thoải_mái"
tiki,99958075,5,Hài lòng về chất lượng sản phẩm. Nhưng nếu ai cao thì quần này sẽ hơi bị ngắn.,2,0,-1,-1,hài_lòng về chất_lượng sản_phẩm . nhưng nếu ai cao thì quần này sẽ hơi bị ngắn .
tiki,99958075,5,Chất vải tốt.,-1,-1,-1,-1,châ tôi va i tô tôi .
tiki,99958075,5,"mặc thử rồi shop, đẹp vừa size. mặc thoải mái, chun co giãn tốt, shop ra thêm mẫu quần mới mình sẽ ủng hộ.",2,-1,-1,-1,"mă c thư rô i cửa_hàng , đe_p vư a size . mă c thoa i ma_i , chun co gia n tô tôi , cửa_hàng ra thêm mâ u quâ n mơ i mi nh se u ng hô ."
tiki,99958075,4,Co giãn tốt. Chất vải ok.,2,-1,-1,-1,co_giãn tốt . chất vải tốt .
tiki,99958075,5,"quần thoải mái thoáng mát, rất thích hợp hoạt động thể thao",-1,-1,-1,-1,"quần thoải_mái thoáng mát , rất thích_hợp hoạt_động thể_thao"
tiki,99958075,5,ok,2,-1,-1,-1,tốt
tiki,99958075,5,"Hàng VN chất lượng cao, có cái loại vải này hơi nóng. Đc cái co giãn tốt.",2,0,-1,-1,"hàng vn chất_lượng cao , có cái loại vải này hơi nóng . được cái co_giãn tốt ."
tiki,99958075,5,"Chất lượng thực sự tốt, giao nhanh, đúng mẫu mình đặt. mua tặng og xã, rất ưng ý cảm ơn shop rất nhiều.",2,-1,2,-1,"châ tôi lươ ng thư c sư tô tôi , giao hàng nhanh , đu ng mâ u mi nh đă tôi . mua tă ng og xa , râ tôi ưng y ca mình ơn cửa_hàng râ tôi nhiê u ."
tiki,99958075,5,"Tiki bán hàng chính hãng, giao hàng nhanh, ship thân thiện, ưng.",2,-1,2,2,"tiki bán hàng chính hãng , giao hàng hàng nhanh , giao hàng thân_thiện , ưng ."
tiki,99958075,4,Sản phẩm đúng như quảng cáo,1,-1,-1,-1,sản_phẩm đúng như quảng_cáo
tiki,99958075,5,"Mặc khá thoải mái, chất lượng tốt.",2,-1,-1,-1,"mặc khá thoải_mái , chất_lượng tốt ."
tiki,99958075,4,"Hoi nhàu nhưng dùng đc, hợp giá tiền",2,1,-1,-1,"hoi nhàu nhưng dùng được , hợp giá tiền"
tiki,99958075,5,"Tikinow 2h đặt cái 30 phút sau có liền, quá nhanh quá nguy hiểm. mua lần 3 của shop rồi rất hài lòng",1,-1,2,-1,"tikinow 2h đă tôi ca i 30 phu tôi sau co liê n , qua nhanh qua nguy hiê mình . mua lâ n 3 cu a cửa_hàng rô i râ tôi ha i lo ng"
tiki,99958075,5,tốt lắmmmmmmmm,2,-1,-1,-1,tốt lắmmmmmmmm
tiki,99958075,5,quá đẹp,2,-1,-1,-1,quá đẹp
tiki,99958075,5,"Quần mát, mặc thoải mái…",-1,-1,-1,-1,"quần_mát , mặc thoải_mái"
tiki,99958075,5,"Nylon hơi mỏng, giao hàng nhanh",0,-1,2,-1,"nylon hơi mỏng , giao hàng hàng nhanh"
tiki,99958075,5,con mình ưng lắm. cảm knw shop,2,-1,-1,-1,con mình ưng lắm . cảm knw cửa_hàng
tiki,99958075,4,Hơi nhàu nhưng dùng đc,2,-1,-1,-1,hơi nhàu nhưng dùng được
tiki,99958075,5,Thoáng mát,-1,-1,-1,-1,thoáng mát
tiki,99958075,4,"bình thường, chỉ nhanh bung",-1,-1,2,-1,"bình_thường , chỉ nhanh bung"
